"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"67",NA,50,45,51920.1747600852,NA,50,45,55568.8186852437,c(-122.78447763425, 49.2856797995792),3648.6439251585
"Population",500,"68",NA,50,45,27962.4787079867,NA,50,45,28787.7014917192,c(-123.174135678569, 49.1480003263469),825.222783732501
"Population",500,"69",NA,50,45,72397.1156662605,NA,50,45,94111.3338942983,c(-123.248461837627, 49.2717356198364),21714.2182280378
"Population",500,"70",NA,50,45,66618.3069730285,NA,50,45,68987.4695658168,c(-123.052508096151, 49.2066938221212),2369.1625927883
"Population",500,"71",NA,50,45,46450.9821513537,NA,50,45,47536.757965716,c(-122.878997672308, 49.1345440179951),1085.7758143623
"Population",500,"72",NA,50,45,40790.4080724397,NA,50,45,41265.190242183,c(-123.046109401797, 49.3315628237613),474.782169743303
"Population",500,"73",NA,50,45,161159.911447809,NA,50,45,177714.144995776,c(-123.053334268238, 49.2262245187549),16554.233547967
"Population",500,"74",NA,50,45,5200.12229108639,NA,50,45,5241.57476701152,c(-123.075381063868, 49.0272078813347),41.4524759251299
"Population",500,"75",NA,50,45,218962.252120183,NA,50,45,226448.49699311,c(-123.088561145943, 49.2601721214033),7486.244872927
"Population",500,"76",NA,50,45,98240.8183017866,NA,50,45,107356.282903127,c(-123.138314320371, 49.218204471983),9115.4646013404
"Population",500,"77",NA,50,45,18256.3805171398,NA,50,45,18538.7851321229,c(-123.030196473171, 49.3343737719418),282.404614983097
"Population",500,"78",NA,50,45,180560.079592359,NA,50,45,216057.370233677,c(-123.069553216585, 49.2760957591709),35497.290641318
"Population",500,"79",NA,50,45,142073.84648659,NA,50,45,166647.629033114,c(-123.175354420534, 49.2694763497014),24573.782546524
"Population",500,"80",NA,50,45,40728.6378979458,NA,50,45,47065.4815087611,c(-122.871085163986, 49.2835966866487),6336.8436108153
"Population",500,"81",NA,50,45,4468.0391429966,NA,50,45,5337.86545222663,c(-122.762126200162, 49.1747130766978),869.826309230029
