"id","accessibility","network","additional_length","row_name"
"3785",0,"Proposed + circle",0,142
"3926",0,"Proposed + circle",0,143
"3959",0,"Proposed + circle",0,144
"3969",0,"Proposed + circle",0,145
"3999",0,"Proposed + circle",0,146
"4010",0,"Proposed + circle",0,147
"4072",0,"Proposed + circle",0,148
"4114",0,"Proposed + circle",0,149
"4116",0,"Proposed + circle",0,150
"4147",0,"Proposed + circle",0,151
"4165",0,"Proposed + circle",0,152
"4252",0,"Proposed + circle",0,153
"4271",0,"Proposed + circle",0,154
"4285",0,"Proposed + circle",0,155
"4315",0,"Proposed + circle",0,156
"4373",0,"Proposed + circle",0,157
"4384",0,"Proposed + circle",0,158
"4574",0,"Proposed + circle",0,159
"4600",0,"Proposed + circle",0,160
"4643",0,"Proposed + circle",0,161
"4647",0,"Proposed + circle",0,162
"4683",0,"Proposed + circle",0,163
"4713",0,"Proposed + circle",0,164
"4718",0,"Proposed + circle",0,165
"4726",0,"Proposed + circle",0,166
"4747",0,"Proposed + circle",0,167
"4770",0,"Proposed + circle",0,168
"4779",0,"Proposed + circle",0,169
"50",0,"Proposed + lions_gate",0,1
"66",0,"Proposed + lions_gate",0,2
"90",0,"Proposed + lions_gate",0,3
"100",0,"Proposed + lions_gate",0,4
"138",0,"Proposed + lions_gate",0,5
"154",0,"Proposed + lions_gate",0,6
"162",0,"Proposed + lions_gate",0,7
"174",0,"Proposed + lions_gate",0,8
"189",0,"Proposed + lions_gate",0,9
"191",0,"Proposed + lions_gate",0,10
"218",0,"Proposed + lions_gate",0,11
"247",0,"Proposed + lions_gate",0,12
"254",0,"Proposed + lions_gate",0,13
"290",0,"Proposed + lions_gate",0,14
"323",0,"Proposed + lions_gate",0,15
"326",0,"Proposed + lions_gate",0,16
"343",0,"Proposed + lions_gate",0,17
"400",0,"Proposed + lions_gate",0,18
"423",0,"Proposed + lions_gate",0,19
"455",0,"Proposed + lions_gate",0,20
"462",0,"Proposed + lions_gate",0,21
"474",0,"Proposed + lions_gate",0,22
"478",0,"Proposed + lions_gate",0,23
"511",0,"Proposed + lions_gate",0,24
"513",0,"Proposed + lions_gate",0,25
"514",0,"Proposed + lions_gate",0,26
"593",0,"Proposed + lions_gate",0,27
"635",0,"Proposed + lions_gate",0,28
"645",0,"Proposed + lions_gate",0,29
"675",0,"Proposed + lions_gate",0,30
"690",0,"Proposed + lions_gate",0,31
"750",0,"Proposed + lions_gate",0,32
"755",0,"Proposed + lions_gate",0,33
"767",0,"Proposed + lions_gate",0,34
"786",0,"Proposed + lions_gate",0,35
"826",0,"Proposed + lions_gate",0,36
"830",0,"Proposed + lions_gate",0,37
"854",0,"Proposed + lions_gate",0,38
"1014",0,"Proposed + lions_gate",0,39
"1043",0,"Proposed + lions_gate",0,40
"1112",0,"Proposed + lions_gate",0,41
"1119",0,"Proposed + lions_gate",0,42
"1178",0,"Proposed + lions_gate",0,43
"1190",0,"Proposed + lions_gate",0,44
"1203",0,"Proposed + lions_gate",0,45
"1223",0,"Proposed + lions_gate",0,46
"1336",0,"Proposed + lions_gate",0,47
"1338",0,"Proposed + lions_gate",0,48
"1355",0,"Proposed + lions_gate",0,49
"1390",0,"Proposed + lions_gate",0,50
"1422",0,"Proposed + lions_gate",0,51
"1434",0,"Proposed + lions_gate",0,52
"1503",0,"Proposed + lions_gate",0,53
"1506",0,"Proposed + lions_gate",0,54
"1534",0,"Proposed + lions_gate",0,55
"1546",0,"Proposed + lions_gate",0,56
"1561",0,"Proposed + lions_gate",0,57
"1577",0,"Proposed + lions_gate",0,58
"1589",0,"Proposed + lions_gate",0,59
"1595",0,"Proposed + lions_gate",0,60
"1652",0,"Proposed + lions_gate",0,61
"1679",0,"Proposed + lions_gate",0,62
"1724",0,"Proposed + lions_gate",0,63
"1793",0,"Proposed + lions_gate",0,64
"1813",0,"Proposed + lions_gate",0,65
"1838",0,"Proposed + lions_gate",0,66
"1845",0,"Proposed + lions_gate",0,67
"1870",0,"Proposed + lions_gate",0,68
"1888",0,"Proposed + lions_gate",0,69
"1913",0,"Proposed + lions_gate",0,70
"1932",0,"Proposed + lions_gate",0,71
"1947",0,"Proposed + lions_gate",0,72
"1967",0,"Proposed + lions_gate",0,73
"1998",0,"Proposed + lions_gate",0,74
"2046",0,"Proposed + lions_gate",0,75
"2099",0,"Proposed + lions_gate",0,76
"2110",0,"Proposed + lions_gate",0,77
"2113",0,"Proposed + lions_gate",0,78
"2132",0,"Proposed + lions_gate",0,79
